pattern_id,pattern_type,description,threshold
P100000,velocity,High frequency transactions in short time,10
P100001,circular,Money returns to original account,5
P100002,circular,Money returns to original account,3
P100003,layering,Multiple sequential transfers across accounts,1
P100004,layering,Multiple sequential transfers across accounts,5
P100005,circular,Money returns to original account,4
P100006,layering,Multiple sequential transfers across accounts,7
P100007,smurfing,Multiple small transactions within short time,3
P100008,smurfing,Multiple small transactions within short time,6
P100009,velocity,High frequency transactions in short time,8
P100010,layering,Multiple sequential transfers across accounts,3
P100011,layering,Multiple sequential transfers across accounts,8
P100012,smurfing,Multiple small transactions within short time,4
P100013,circular,Money returns to original account,6
P100014,velocity,High frequency transactions in short time,4
P100015,velocity,High frequency transactions in short time,9
P100016,smurfing,Multiple small transactions within short time,4
P100017,layering,Multiple sequential transfers across accounts,8
P100018,layering,Multiple sequential transfers across accounts,5
P100019,circular,Money returns to original account,6
P100020,layering,Multiple sequential transfers across accounts,3
P100021,velocity,High frequency transactions in short time,1
P100022,smurfing,Multiple small transactions within short time,2
P100023,circular,Money returns to original account,3
P100024,velocity,High frequency transactions in short time,5
P100025,layering,Multiple sequential transfers across accounts,5
P100026,layering,Multiple sequential transfers across accounts,1
P100027,layering,Multiple sequential transfers across accounts,6
P100028,layering,Multiple sequential transfers across accounts,1
P100029,circular,Money returns to original account,7
P100030,layering,Multiple sequential transfers across accounts,3
P100031,circular,Money returns to original account,5
P100032,layering,Multiple sequential transfers across accounts,8
P100033,layering,Multiple sequential transfers across accounts,7
P100034,velocity,High frequency transactions in short time,4
P100035,smurfing,Multiple small transactions within short time,2
P100036,velocity,High frequency transactions in short time,8
P100037,smurfing,Multiple small transactions within short time,3
P100038,smurfing,Multiple small transactions within short time,4
P100039,velocity,High frequency transactions in short time,4
P100040,layering,Multiple sequential transfers across accounts,1
P100041,layering,Multiple sequential transfers across accounts,6
P100042,velocity,High frequency transactions in short time,8
P100043,velocity,High frequency transactions in short time,2
P100044,circular,Money returns to original account,7
P100045,circular,Money returns to original account,1
P100046,velocity,High frequency transactions in short time,4
P100047,velocity,High frequency transactions in short time,7
P100048,circular,Money returns to original account,6
P100049,circular,Money returns to original account,3
P100050,circular,Money returns to original account,8
P100051,layering,Multiple sequential transfers across accounts,2
P100052,layering,Multiple sequential transfers across accounts,9
P100053,velocity,High frequency transactions in short time,5
P100054,velocity,High frequency transactions in short time,3
P100055,velocity,High frequency transactions in short time,8
P100056,layering,Multiple sequential transfers across accounts,2
P100057,circular,Money returns to original account,3
P100058,layering,Multiple sequential transfers across accounts,3
P100059,layering,Multiple sequential transfers across accounts,7
P100060,layering,Multiple sequential transfers across accounts,7
P100061,smurfing,Multiple small transactions within short time,3
P100062,circular,Money returns to original account,1
P100063,layering,Multiple sequential transfers across accounts,8
P100064,smurfing,Multiple small transactions within short time,2
P100065,smurfing,Multiple small transactions within short time,10
P100066,velocity,High frequency transactions in short time,10
P100067,circular,Money returns to original account,9
P100068,velocity,High frequency transactions in short time,10
P100069,layering,Multiple sequential transfers across accounts,9
P100070,velocity,High frequency transactions in short time,7
P100071,smurfing,Multiple small transactions within short time,7
P100072,velocity,High frequency transactions in short time,5
P100073,velocity,High frequency transactions in short time,10
P100074,smurfing,Multiple small transactions within short time,8
P100075,layering,Multiple sequential transfers across accounts,6
P100076,layering,Multiple sequential transfers across accounts,4
P100077,smurfing,Multiple small transactions within short time,9
P100078,velocity,High frequency transactions in short time,3
P100079,smurfing,Multiple small transactions within short time,5
P100080,velocity,High frequency transactions in short time,2
P100081,velocity,High frequency transactions in short time,2
P100082,smurfing,Multiple small transactions within short time,10
P100083,circular,Money returns to original account,8
P100084,velocity,High frequency transactions in short time,5
P100085,layering,Multiple sequential transfers across accounts,3
P100086,velocity,High frequency transactions in short time,2
P100087,smurfing,Multiple small transactions within short time,8
P100088,smurfing,Multiple small transactions within short time,4
P100089,layering,Multiple sequential transfers across accounts,1
P100090,circular,Money returns to original account,6
P100091,circular,Money returns to original account,9
P100092,circular,Money returns to original account,4
P100093,layering,Multiple sequential transfers across accounts,9
P100094,circular,Money returns to original account,10
P100095,layering,Multiple sequential transfers across accounts,5
P100096,smurfing,Multiple small transactions within short time,4
P100097,velocity,High frequency transactions in short time,8
P100098,layering,Multiple sequential transfers across accounts,6
P100099,layering,Multiple sequential transfers across accounts,2
P100100,layering,Multiple sequential transfers across accounts,3
P100101,layering,Multiple sequential transfers across accounts,7
P100102,circular,Money returns to original account,2
P100103,layering,Multiple sequential transfers across accounts,1
P100104,circular,Money returns to original account,9
P100105,circular,Money returns to original account,3
P100106,circular,Money returns to original account,1
P100107,circular,Money returns to original account,2
P100108,circular,Money returns to original account,3
P100109,circular,Money returns to original account,7
P100110,velocity,High frequency transactions in short time,6
P100111,circular,Money returns to original account,1
P100112,layering,Multiple sequential transfers across accounts,10
P100113,velocity,High frequency transactions in short time,10
P100114,velocity,High frequency transactions in short time,7
P100115,velocity,High frequency transactions in short time,3
P100116,velocity,High frequency transactions in short time,3
P100117,velocity,High frequency transactions in short time,10
P100118,smurfing,Multiple small transactions within short time,4
P100119,smurfing,Multiple small transactions within short time,6
P100120,circular,Money returns to original account,4
P100121,velocity,High frequency transactions in short time,8
P100122,velocity,High frequency transactions in short time,7
P100123,velocity,High frequency transactions in short time,1
P100124,smurfing,Multiple small transactions within short time,2
P100125,layering,Multiple sequential transfers across accounts,9
P100126,velocity,High frequency transactions in short time,2
P100127,layering,Multiple sequential transfers across accounts,10
P100128,circular,Money returns to original account,9
P100129,velocity,High frequency transactions in short time,9
P100130,layering,Multiple sequential transfers across accounts,8
P100131,circular,Money returns to original account,9
P100132,velocity,High frequency transactions in short time,3
P100133,velocity,High frequency transactions in short time,5
P100134,smurfing,Multiple small transactions within short time,1
P100135,layering,Multiple sequential transfers across accounts,1
P100136,smurfing,Multiple small transactions within short time,3
P100137,layering,Multiple sequential transfers across accounts,9
P100138,smurfing,Multiple small transactions within short time,1
P100139,circular,Money returns to original account,6
P100140,velocity,High frequency transactions in short time,8
P100141,velocity,High frequency transactions in short time,4
P100142,smurfing,Multiple small transactions within short time,3
P100143,layering,Multiple sequential transfers across accounts,2
P100144,velocity,High frequency transactions in short time,8
P100145,circular,Money returns to original account,2
P100146,circular,Money returns to original account,8
P100147,smurfing,Multiple small transactions within short time,8
P100148,smurfing,Multiple small transactions within short time,5
P100149,circular,Money returns to original account,4
P100150,smurfing,Multiple small transactions within short time,5
P100151,smurfing,Multiple small transactions within short time,5
P100152,circular,Money returns to original account,1
P100153,layering,Multiple sequential transfers across accounts,1
P100154,circular,Money returns to original account,7
P100155,layering,Multiple sequential transfers across accounts,4
P100156,layering,Multiple sequential transfers across accounts,9
P100157,layering,Multiple sequential transfers across accounts,8
P100158,smurfing,Multiple small transactions within short time,10
P100159,circular,Money returns to original account,7
P100160,velocity,High frequency transactions in short time,3
P100161,layering,Multiple sequential transfers across accounts,4
P100162,velocity,High frequency transactions in short time,8
P100163,velocity,High frequency transactions in short time,1
P100164,layering,Multiple sequential transfers across accounts,4
P100165,circular,Money returns to original account,6
P100166,layering,Multiple sequential transfers across accounts,8
P100167,smurfing,Multiple small transactions within short time,9
P100168,circular,Money returns to original account,1
P100169,circular,Money returns to original account,6
