account_id,amount,is_fraud
A960842,12105.16,0
A710126,41455.82,0
A724359,13677.36,0
A155173,13233.11,0
A487327,38607.1,1
A184273,7980.67,0
A513220,25099.07,0
A308051,40160.91,0
A885657,10849.4,0
A735267,5069.85,0
A386355,47083.39,1
A935414,20568.33,0
A721230,46954.89,0
A208268,48623.2,0
A728669,11331.33,0
A789500,33572.21,0
A908083,47536.71,0
A536220,28171.47,1
A894970,44334.43,0
A929763,29206.8,0
A399628,33341.5,0
A899082,40782.72,0
A125771,7012.94,0
A655961,5504.89,1
A886335,5858.99,0
A414356,12372.33,0
A706055,13131.7,0
A677496,6123.86,1
A880052,13652.92,0
A862988,17921.55,0
A491521,46600.9,0
A864140,9336.46,0
A640298,12016.27,0
A303725,48128.37,0
A587539,30382.31,0
A680925,27602.29,0
A320253,2076.42,0
A536749,24851.4,0
A615595,18643.72,0
A327773,23143.55,0
A679441,20268.77,0
A344241,41625.57,0
A916320,20430.0,0
A156098,46960.49,0
A459735,33860.27,0
A200208,11579.52,0
A143735,19144.26,0
A667731,28314.58,0
A624003,25946.09,0
A628581,49620.95,0
A799991,36875.71,0
A673035,13758.95,0
A345958,48576.59,0
A588482,950.39,0
A753758,188.03,0
A614148,30243.15,0
A797189,4564.76,0
A549045,16514.47,0
A189121,47553.46,1
A217648,43729.42,0
A628054,47483.68,0
A220103,4662.33,1
A673586,38632.36,0
A581907,42424.39,0
A544971,8569.15,0
A474020,32919.48,0
A107804,1353.8,0
A140388,28366.21,0
A131634,44690.25,0
A335114,31643.63,0
A414351,41425.28,0
A998895,10876.33,0
A266300,4562.58,0
A467685,43388.13,0
A380868,2017.0,0
A253735,21232.9,0
A570852,3416.47,0
A600016,30484.58,0
A656776,9147.82,0
A539810,33139.26,0
A526485,26591.23,0
A700476,48366.03,0
A109639,10387.89,0
A970908,37311.31,0
A338617,35454.13,1
A118710,43387.97,0
A544378,32510.43,0
A696308,44059.73,0
A322741,22218.55,0
A892146,24940.0,0
A594882,30474.21,0
A254134,45592.2,0
A553390,29332.91,1
A868814,362.45,0
A606299,3453.11,0
A474824,36858.73,0
A867887,40062.5,0
A404836,42707.07,0
A910124,9288.61,0
A605813,1632.89,0
A599418,5936.66,1
A239943,37900.52,1
A207632,14808.02,1
A526535,30196.33,0
A218812,12614.05,0
A205462,35141.23,0
A249254,13038.54,0
A252263,9367.93,0
A664000,40535.76,0
A284556,25116.95,0
A269531,4562.63,1
A336662,17093.28,0
A357439,37813.25,0
A643186,2833.48,0
A701138,39776.06,0
A606096,9582.8,0
A291661,43278.42,0
A888332,26943.01,0
A665786,32252.07,0
A758953,42728.99,0
A576348,27166.75,0
A811612,19897.76,0
A949983,43160.24,0
A734221,23053.51,0
A178953,24028.5,0
A215214,3885.14,0
A975697,23957.6,1
A299177,45089.32,1
A867635,5066.69,0
A844499,31588.68,1
A615424,19008.35,1
A298290,22662.44,0
A880502,2224.82,0
A849119,7114.71,0
A830277,48240.7,0
A409337,26113.62,1
A893130,17534.33,0
A594067,2504.72,0
A559796,42540.39,0
A865939,20231.73,0
A373274,37321.36,0
A166856,34223.54,0
A982289,28600.22,0
A764017,21809.71,0
A237480,47762.41,0
A276299,2586.37,0
A490466,22558.68,0
A139372,21056.22,0
A414338,16834.88,0
A188943,13063.42,0
A849162,22922.9,0
A452612,30282.03,0
A514350,13444.0,0
A153806,28488.44,0
A560968,40281.36,0
A804860,40792.59,1
A467038,33636.18,1
A450689,39309.51,0
A446859,46651.22,0
A986103,4895.83,0
A397520,14334.12,0
A695589,45233.31,0
A257191,15157.16,0
A281589,43290.52,0
A673326,7714.22,0
A803710,37014.78,0
A102885,1686.17,0
A181622,30659.11,0
A701683,37094.0,0
A629473,36264.31,0
A174116,35457.23,1
A217488,1329.76,0
A237165,19174.32,0
A732842,39568.6,1
A673562,22629.71,0
A209841,41916.53,0
A175936,16228.05,0
A798056,49435.4,0
A352344,45698.92,1
A555153,18707.85,0
A151964,45337.92,0
A679310,41599.88,0
A160225,8489.81,1
A945308,35527.42,0
A218442,24826.08,0
A496444,26553.91,0
A996658,3336.01,0
A570616,25262.27,0
A951672,753.51,0
A456887,41792.14,0
A864614,24975.25,0
A504585,10508.51,0
A285786,7902.84,0
A467657,29725.27,0
A591755,28142.48,1
A741698,47831.23,0
A620286,13762.34,0
A339207,13774.37,1
A547730,44750.19,0
A285548,33388.14,0
A804485,37895.65,0
