account_id,amount,is_fraud
B512358,36854.62,0
B979544,6457.01,0
B436077,14766.39,0
B628057,46932.49,0
B455784,33379.58,0
B783321,2147.29,1
B187476,20594.12,0
B427826,37443.69,0
B389813,23842.19,0
B499222,19374.27,0
B619552,28253.28,0
B801614,2910.75,0
B247336,13408.59,0
B196203,15120.55,0
B101020,42638.17,0
B899981,32585.15,0
B810906,14782.9,0
B560009,32040.3,0
B472339,36747.79,1
B771124,34056.38,0
B133015,10299.01,0
B442799,12910.31,0
B269236,30585.37,0
B409839,10421.2,0
B293913,33850.75,0
B427628,46352.67,0
B544994,9718.01,0
B683299,24571.7,0
B783000,47069.03,0
B211710,8092.69,0
B315625,35532.88,0
B763930,46213.47,0
B372768,15059.1,0
B880775,33569.31,0
B833669,29325.96,0
B509976,9482.64,0
B901730,34976.26,0
B617813,32676.15,0
B595772,49372.31,0
B229441,11990.01,0
B213930,6270.63,0
B683705,38599.09,0
B745481,14231.62,0
B178345,33884.79,0
B160096,18785.11,0
B142330,34773.75,1
B184214,29726.92,0
B470149,39221.01,0
B268309,14963.42,0
B985243,673.34,0
B582644,15403.08,0
B221115,49277.99,0
B862529,2248.11,0
B494357,14590.18,0
B948894,8503.29,0
B824459,6704.07,0
B609842,40676.9,0
B138468,6478.55,0
B504219,35577.22,0
B897575,48103.37,1
B548541,24655.08,0
B578944,45611.24,0
B278961,16833.11,0
B750971,17480.78,0
B942452,29527.58,0
B953026,5310.66,0
B682605,9635.03,0
B687989,32206.62,0
B252482,15989.05,0
B665574,46633.43,0
B747709,8604.85,0
B618282,23203.82,0
B856966,17875.46,0
B527127,14795.88,0
B278456,34482.53,0
B859386,48815.85,0
B515314,20332.15,0
B896821,33711.18,0
B960766,3420.21,0
B869591,44742.94,0
B717519,27652.0,0
B560862,5283.84,0
B702227,35446.4,0
B581803,15835.32,0
B822735,22583.25,0
B163770,24425.77,0
B173636,21159.48,0
B502410,21602.65,0
B628883,33538.2,0
B991581,45922.26,0
B495655,44347.73,0
B123504,36379.14,0
B198409,11783.69,0
B174016,44084.05,0
B816243,19838.79,0
B854388,16201.87,0
B917756,5065.66,0
B333032,12413.63,0
B612259,17152.88,0
B853346,36007.73,0
B789320,23024.24,0
B163066,12553.66,0
B251645,20644.1,0
B340399,44301.36,0
B366097,17769.19,0
B445265,5247.91,0
B266909,13532.55,1
B220325,19148.58,0
B636660,1394.06,0
B431402,5721.38,0
B439111,48977.73,0
B211022,5988.02,0
B436717,22260.54,0
B684231,48391.61,0
B694775,13664.96,0
B723388,5074.24,0
B102252,25101.73,0
B199107,24102.11,0
B121991,27602.1,0
B263699,34605.08,1
B784083,21941.32,0
B232843,5198.81,1
B952980,22607.94,0
B222199,2087.17,0
B953399,31306.34,0
B822223,48142.09,0
B518645,29065.05,0
B327611,39525.99,0
B599467,43415.0,0
B231145,45346.24,0
B455569,44658.48,0
B480412,12263.96,0
B826508,49914.1,1
B774595,17270.21,0
B727484,35810.86,0
B726137,15102.28,0
B870018,26963.84,0
B907887,18579.31,0
B983795,47823.27,0
B803597,24530.26,0
B557879,2145.14,0
B865819,35247.35,0
B805405,9391.62,0
B315765,18169.86,0
B336955,46623.94,0
B366976,40145.04,0
B235663,27221.14,0
B418959,27602.74,0
B619534,31841.6,0
B554442,33529.15,0
B170978,35011.19,0
B599413,43123.3,1
B501042,28450.58,0
B852093,43417.32,0
B987170,23383.77,1
B901581,23719.61,0
B252894,48034.78,0
B250160,18361.07,0
B477561,35775.51,0
B655518,39794.82,0
B743234,8816.38,0
B807408,49235.87,0
B630137,6879.73,0
B444706,31232.39,0
B167950,3376.21,0
B754422,18337.24,0
B130696,11525.46,0
B624899,15203.02,0
B715722,5313.52,0
B398282,2533.46,0
B856879,929.66,1
B636154,48572.21,0
B304443,47848.73,0
B348283,37326.06,0
B342422,49426.37,0
B895577,41804.95,0
