complaint_id,text,label
C100000,Money deducted but not received,fraud
C100001,Unable to update profile,normal
C100002,Login issue,normal
C100003,Password reset not working,normal
C100004,Multiple OTP requests without action,fraud
C100005,Password reset not working,normal
C100006,Unable to update profile,normal
C100007,Login issue,normal
C100008,App is slow,normal
C100009,Money deducted but not received,fraud
C100010,Need account statement,normal
C100011,Unauthorized transaction from my account,fraud
C100012,Unable to update profile,normal
C100013,Login issue,normal
C100014,Multiple OTP requests without action,fraud
C100015,Password reset not working,normal
C100016,Unable to update profile,normal
C100017,App is slow,normal
C100018,App is slow,normal
C100019,Suspicious activity detected,fraud
C100020,Need account statement,normal
C100021,Suspicious activity detected,fraud
C100022,Unable to update profile,normal
C100023,Unauthorized transaction from my account,fraud
C100024,Password reset not working,normal
C100025,Unauthorized transaction from my account,fraud
C100026,Need account statement,normal
C100027,Login issue,normal
C100028,Login issue,normal
C100029,Unable to update profile,normal
C100030,Password reset not working,normal
C100031,Money deducted but not received,fraud
C100032,Login issue,normal
C100033,Unable to update profile,normal
C100034,Multiple OTP requests without action,fraud
C100035,Password reset not working,normal
C100036,App is slow,normal
C100037,Money deducted but not received,fraud
C100038,Unable to update profile,normal
C100039,Need account statement,normal
C100040,App is slow,normal
C100041,Unable to update profile,normal
C100042,App is slow,normal
C100043,Password reset not working,normal
C100044,Unable to update profile,normal
C100045,Unable to update profile,normal
C100046,Unable to update profile,normal
C100047,Password reset not working,normal
C100048,Multiple OTP requests without action,fraud
C100049,Login issue,normal
C100050,Login issue,normal
C100051,Password reset not working,normal
C100052,Need account statement,normal
C100053,Multiple OTP requests without action,fraud
C100054,Unable to update profile,normal
C100055,Unknown beneficiary added and funds transferred,fraud
C100056,Unable to update profile,normal
C100057,Unable to update profile,normal
C100058,App is slow,normal
C100059,Password reset not working,normal
C100060,Need account statement,normal
C100061,Password reset not working,normal
C100062,App is slow,normal
C100063,Unauthorized transaction from my account,fraud
C100064,App is slow,normal
C100065,Login issue,normal
C100066,Unable to update profile,normal
C100067,Suspicious activity detected,fraud
C100068,Money deducted but not received,fraud
C100069,Multiple OTP requests without action,fraud
C100070,Unable to update profile,normal
C100071,Unknown beneficiary added and funds transferred,fraud
C100072,Need account statement,normal
C100073,Suspicious activity detected,fraud
C100074,Multiple OTP requests without action,fraud
C100075,Login issue,normal
C100076,Unknown beneficiary added and funds transferred,fraud
C100077,Suspicious activity detected,fraud
C100078,Need account statement,normal
C100079,Unauthorized transaction from my account,fraud
C100080,App is slow,normal
C100081,Unknown beneficiary added and funds transferred,fraud
C100082,Password reset not working,normal
C100083,Login issue,normal
C100084,Password reset not working,normal
C100085,Money deducted but not received,fraud
C100086,Login issue,normal
C100087,Login issue,normal
C100088,Money deducted but not received,fraud
C100089,Password reset not working,normal
C100090,App is slow,normal
C100091,Password reset not working,normal
C100092,App is slow,normal
C100093,Password reset not working,normal
C100094,Suspicious activity detected,fraud
C100095,Unknown beneficiary added and funds transferred,fraud
C100096,Password reset not working,normal
C100097,Login issue,normal
C100098,Unknown beneficiary added and funds transferred,fraud
C100099,Password reset not working,normal
C100100,Unauthorized transaction from my account,fraud
C100101,Unauthorized transaction from my account,fraud
C100102,Login issue,normal
C100103,Login issue,normal
C100104,App is slow,normal
C100105,Login issue,normal
C100106,App is slow,normal
C100107,Suspicious activity detected,fraud
C100108,Unknown beneficiary added and funds transferred,fraud
C100109,Unauthorized transaction from my account,fraud
C100110,Need account statement,normal
C100111,Suspicious activity detected,fraud
C100112,Unauthorized transaction from my account,fraud
C100113,Login issue,normal
C100114,Unable to update profile,normal
C100115,Login issue,normal
C100116,Unknown beneficiary added and funds transferred,fraud
C100117,Suspicious activity detected,fraud
C100118,Multiple OTP requests without action,fraud
C100119,Money deducted but not received,fraud
C100120,Unauthorized transaction from my account,fraud
C100121,Multiple OTP requests without action,fraud
C100122,Suspicious activity detected,fraud
C100123,Login issue,normal
C100124,Unable to update profile,normal
C100125,Multiple OTP requests without action,fraud
C100126,Multiple OTP requests without action,fraud
C100127,Unable to update profile,normal
C100128,Need account statement,normal
C100129,Login issue,normal
C100130,Multiple OTP requests without action,fraud
C100131,Password reset not working,normal
C100132,Unable to update profile,normal
C100133,Password reset not working,normal
C100134,Need account statement,normal
C100135,Money deducted but not received,fraud
C100136,Login issue,normal
C100137,Unable to update profile,normal
C100138,Unauthorized transaction from my account,fraud
C100139,Unknown beneficiary added and funds transferred,fraud
C100140,Login issue,normal
C100141,Multiple OTP requests without action,fraud
C100142,App is slow,normal
C100143,Login issue,normal
C100144,Password reset not working,normal
C100145,Login issue,normal
C100146,Suspicious activity detected,fraud
C100147,Password reset not working,normal
C100148,App is slow,normal
C100149,App is slow,normal
C100150,Unable to update profile,normal
C100151,Login issue,normal
C100152,App is slow,normal
C100153,Login issue,normal
C100154,Unauthorized transaction from my account,fraud
C100155,App is slow,normal
C100156,Need account statement,normal
C100157,Login issue,normal
C100158,App is slow,normal
C100159,Unauthorized transaction from my account,fraud
C100160,Need account statement,normal
C100161,Unable to update profile,normal
C100162,Login issue,normal
C100163,Multiple OTP requests without action,fraud
C100164,Unable to update profile,normal
C100165,Unable to update profile,normal
C100166,Multiple OTP requests without action,fraud
C100167,Unauthorized transaction from my account,fraud
C100168,Money deducted but not received,fraud
C100169,Money deducted but not received,fraud
C100170,Need account statement,normal
C100171,Unable to update profile,normal
C100172,Login issue,normal
C100173,Password reset not working,normal
C100174,Multiple OTP requests without action,fraud
C100175,Login issue,normal
C100176,Unknown beneficiary added and funds transferred,fraud
C100177,Suspicious activity detected,fraud
C100178,Login issue,normal
C100179,App is slow,normal
C100180,Password reset not working,normal
C100181,Suspicious activity detected,fraud
C100182,Login issue,normal
C100183,Unknown beneficiary added and funds transferred,fraud
C100184,Multiple OTP requests without action,fraud
C100185,Login issue,normal
C100186,App is slow,normal
C100187,Unable to update profile,normal
C100188,Unknown beneficiary added and funds transferred,fraud
C100189,Need account statement,normal
C100190,Unauthorized transaction from my account,fraud
C100191,Need account statement,normal
C100192,Unable to update profile,normal
C100193,Need account statement,normal
C100194,Unknown beneficiary added and funds transferred,fraud
C100195,Password reset not working,normal
C100196,App is slow,normal
C100197,Unable to update profile,normal
C100198,App is slow,normal
C100199,Login issue,normal
C100200,Money deducted but not received,fraud
C100201,Need account statement,normal
C100202,Unable to update profile,normal
C100203,Multiple OTP requests without action,fraud
C100204,Multiple OTP requests without action,fraud
C100205,Money deducted but not received,fraud
C100206,Money deducted but not received,fraud
C100207,App is slow,normal
C100208,Unknown beneficiary added and funds transferred,fraud
C100209,Money deducted but not received,fraud
C100210,Login issue,normal
C100211,Suspicious activity detected,fraud
C100212,Unknown beneficiary added and funds transferred,fraud
C100213,Need account statement,normal
C100214,Login issue,normal
C100215,Need account statement,normal
C100216,Money deducted but not received,fraud
C100217,Money deducted but not received,fraud
C100218,App is slow,normal
C100219,App is slow,normal
C100220,Unknown beneficiary added and funds transferred,fraud
C100221,Password reset not working,normal
C100222,Login issue,normal
C100223,Unauthorized transaction from my account,fraud
C100224,App is slow,normal
C100225,Multiple OTP requests without action,fraud
C100226,Need account statement,normal
C100227,Password reset not working,normal
C100228,Need account statement,normal
C100229,Unable to update profile,normal
C100230,App is slow,normal
C100231,Unauthorized transaction from my account,fraud
C100232,App is slow,normal
C100233,App is slow,normal
C100234,Money deducted but not received,fraud
C100235,Unknown beneficiary added and funds transferred,fraud
C100236,Login issue,normal
C100237,Login issue,normal
C100238,Unknown beneficiary added and funds transferred,fraud
C100239,Need account statement,normal
C100240,Multiple OTP requests without action,fraud
C100241,Login issue,normal
C100242,Suspicious activity detected,fraud
C100243,Unauthorized transaction from my account,fraud
C100244,Money deducted but not received,fraud
C100245,App is slow,normal
C100246,App is slow,normal
C100247,Password reset not working,normal
C100248,Need account statement,normal
C100249,Multiple OTP requests without action,fraud
C100250,Unauthorized transaction from my account,fraud
C100251,Need account statement,normal
C100252,Unable to update profile,normal
C100253,Multiple OTP requests without action,fraud
C100254,App is slow,normal
C100255,Suspicious activity detected,fraud
C100256,Unable to update profile,normal
C100257,Password reset not working,normal
C100258,Multiple OTP requests without action,fraud
C100259,App is slow,normal
C100260,Money deducted but not received,fraud
C100261,Password reset not working,normal
C100262,Unable to update profile,normal
C100263,Need account statement,normal
C100264,Unauthorized transaction from my account,fraud
C100265,App is slow,normal
C100266,Login issue,normal
C100267,Unknown beneficiary added and funds transferred,fraud
C100268,Password reset not working,normal
C100269,Unable to update profile,normal
C100270,Need account statement,normal
C100271,Suspicious activity detected,fraud
C100272,Multiple OTP requests without action,fraud
C100273,Need account statement,normal
C100274,Unauthorized transaction from my account,fraud
C100275,Password reset not working,normal
C100276,Multiple OTP requests without action,fraud
C100277,Password reset not working,normal
C100278,Password reset not working,normal
C100279,Need account statement,normal
C100280,Unknown beneficiary added and funds transferred,fraud
C100281,Unknown beneficiary added and funds transferred,fraud
C100282,Suspicious activity detected,fraud
C100283,Unknown beneficiary added and funds transferred,fraud
C100284,Unknown beneficiary added and funds transferred,fraud
C100285,Multiple OTP requests without action,fraud
C100286,Need account statement,normal
C100287,Unauthorized transaction from my account,fraud
C100288,Login issue,normal
C100289,Password reset not working,normal
C100290,Unknown beneficiary added and funds transferred,fraud
C100291,Unable to update profile,normal
C100292,Need account statement,normal
C100293,Unable to update profile,normal
C100294,Unauthorized transaction from my account,fraud
C100295,Login issue,normal
C100296,Login issue,normal
C100297,Unauthorized transaction from my account,fraud
C100298,App is slow,normal
C100299,Password reset not working,normal
C100300,Password reset not working,normal
C100301,App is slow,normal
C100302,Need account statement,normal
C100303,Password reset not working,normal
C100304,Login issue,normal
C100305,Need account statement,normal
