account_id,timestamp,amount
A818695,2024-01-09 13:37:58,3988.94
A355458,2024-02-04 00:23:54,907.0
A445880,2024-03-24 17:19:18,4951.51
A803536,2024-01-24 01:45:56,2779.48
A748168,2024-03-04 12:32:31,3176.78
A773451,2024-01-15 14:16:11,4308.99
A472751,2024-03-07 12:42:22,1879.6
A290361,2024-02-28 22:32:05,341.0
A733114,2024-03-21 07:38:56,94217.53
A265453,2024-02-01 06:27:11,2319.99
A477877,2024-03-25 18:26:31,2679.73
A645773,2024-01-21 02:12:51,4454.71
A223126,2024-02-16 13:08:44,395.06
A585363,2024-03-27 13:00:48,1372.48
A274022,2024-01-25 21:38:11,4035.32
A100045,2024-02-11 19:39:56,2112.82
A355223,2024-01-24 21:41:14,2982.12
A672719,2024-02-03 04:47:24,2342.58
A890381,2024-02-16 16:24:40,3658.89
A413657,2024-03-19 17:50:51,4471.05
A381857,2024-01-04 02:26:13,4504.67
A683499,2024-03-16 19:47:13,1706.29
A669859,2024-03-30 21:55:14,1426.1
A520625,2024-01-14 05:21:22,2919.97
A710408,2024-01-04 00:11:42,2810.7
A243551,2024-03-09 20:02:44,2360.58
A963402,2024-02-24 15:29:36,888.39
A314589,2024-01-02 23:38:26,592.46
A518212,2024-02-07 01:06:35,4748.66
A666677,2024-02-09 02:55:13,572.85
A388158,2024-03-05 03:37:22,1223.08
A529089,2024-02-03 00:12:01,1120.56
A980502,2024-01-27 19:13:25,117.08
A568414,2024-02-22 16:43:01,4881.54
A262293,2024-02-08 15:28:42,3345.17
A143425,2024-02-12 13:01:11,1653.89
A215470,2024-01-09 01:52:23,1419.59
A296635,2024-01-30 20:34:09,3893.5
A894239,2024-03-19 14:34:20,504.0
A480683,2024-03-17 01:25:40,1667.85
A441241,2024-01-08 04:42:19,3892.3
A505441,2024-01-26 08:13:27,4131.36
A399491,2024-02-20 23:41:32,4824.01
A924434,2024-01-24 11:22:19,4621.21
A531163,2024-01-15 05:11:08,2693.5
A629837,2024-03-18 13:02:32,257.32
A126863,2024-03-26 12:34:13,1077.26
A892770,2024-01-04 20:49:51,4262.41
A877269,2024-03-20 02:02:01,4088.11
A572205,2024-03-27 02:43:35,1697.97
A674075,2024-02-07 11:24:20,1377.73
A102351,2024-02-05 19:20:04,397.87
A105173,2024-02-22 00:22:23,969.03
A856366,2024-01-28 15:24:10,1534.87
A375287,2024-03-17 15:07:39,3287.57
A321771,2024-03-08 11:42:22,4583.33
A564071,2024-03-13 23:43:11,3396.15
A740028,2024-02-15 07:19:06,4809.12
A649300,2024-02-20 03:02:47,1305.85
A195625,2024-01-12 15:15:03,4630.11
A639274,2024-02-11 13:54:34,1706.92
A477877,2024-01-29 16:53:18,1690.88
A945795,2024-01-05 04:00:46,38582.39
A756707,2024-02-20 02:27:26,3641.83
A694057,2024-01-29 17:29:11,2471.01
A645050,2024-02-23 00:41:34,1453.61
A737738,2024-03-20 04:18:58,1025.1
A815700,2024-01-08 04:35:00,1746.52
A916325,2024-03-23 13:40:12,3301.93
A680378,2024-03-07 03:55:17,1605.19
A152034,2024-02-11 05:04:32,118.77
A394320,2024-01-26 10:26:47,3057.96
A740028,2024-01-30 04:43:17,182.66
A688650,2024-02-20 18:58:21,4139.56
A730160,2024-03-26 23:00:22,1935.81
A184858,2024-02-21 23:55:53,2911.47
A856366,2024-01-29 14:35:14,522.31
A448803,2024-03-10 18:27:18,1477.05
A458212,2024-02-23 01:10:05,3099.17
A361598,2024-03-25 14:38:21,3985.95
A375722,2024-02-13 13:00:55,4853.74
A848115,2024-02-03 20:59:00,1721.62
A366762,2024-01-16 13:38:15,4029.49
A239555,2024-01-13 21:12:33,1425.34
A832179,2024-02-29 19:32:36,4333.95
A883404,2024-03-14 02:28:01,3692.89
A614514,2024-03-20 14:54:19,3735.78
A469341,2024-03-20 02:45:40,209.52
A736074,2024-01-02 03:06:38,788.54
A656907,2024-02-26 05:52:19,2825.66
A832168,2024-02-04 01:42:09,3873.16
A820919,2024-02-21 03:48:53,2187.15
A155059,2024-01-01 17:53:58,657.22
A437425,2024-01-01 10:58:51,2868.42
A773211,2024-01-21 02:02:47,4848.43
A328525,2024-02-10 23:46:01,2940.36
A874045,2024-03-17 10:25:58,3288.26
A209723,2024-02-13 09:52:55,2850.27
A312799,2024-01-20 00:23:10,429.49
A672839,2024-03-24 18:08:27,77717.44
A162127,2024-02-09 15:54:47,2708.86
A981759,2024-02-24 05:51:53,713.22
A959070,2024-02-08 02:21:55,3276.02
A157639,2024-03-11 00:32:16,4834.72
A131337,2024-01-11 12:02:32,4991.12
A217543,2024-01-30 03:06:24,1527.2
A688650,2024-02-14 01:40:05,3651.95
A542898,2024-02-01 08:46:45,3339.35
A182655,2024-02-25 03:04:34,2516.86
A999837,2024-02-18 13:21:05,460.52
A298960,2024-02-21 07:35:11,1524.75
A542624,2024-03-26 06:01:59,2155.17
A542017,2024-03-10 18:55:23,3436.51
A486472,2024-01-27 03:33:59,3942.3
A969741,2024-03-25 08:37:22,2457.86
A673781,2024-01-09 21:55:43,1485.93
A490189,2024-03-28 16:16:41,170.58
A250731,2024-03-20 23:58:32,4571.87
A123568,2024-02-04 07:18:08,3168.04
A380605,2024-03-15 14:52:12,2831.69
A603011,2024-02-15 12:58:11,2145.53
A138605,2024-03-30 12:37:25,4667.09
A408590,2024-01-20 02:01:44,2858.97
A209723,2024-02-02 06:31:12,2338.09
A221153,2024-03-28 01:43:08,472.92
A478157,2024-03-24 15:35:43,2632.44
A890580,2024-03-16 17:48:05,31715.75
A561272,2024-02-16 07:51:08,807.68
A994341,2024-01-22 08:25:25,3892.1
A622189,2024-02-02 18:21:50,87020.82
A786442,2024-03-20 06:08:19,1078.81
A335914,2024-02-22 09:06:56,122.03
A662659,2024-01-18 13:13:11,3104.27
A538960,2024-02-06 18:35:00,1149.26
A113130,2024-01-05 06:49:36,1392.81
A895766,2024-03-04 22:51:10,4684.7
A795705,2024-01-01 08:15:42,733.73
A652171,2024-02-17 17:22:39,1464.11
A381117,2024-02-18 21:52:14,4718.49
A572767,2024-03-08 20:57:28,3343.0
A197863,2024-02-17 12:40:46,1526.28
A561272,2024-02-03 07:03:44,830.35
A559524,2024-03-21 05:30:40,3354.45
A817082,2024-01-19 05:11:11,3864.71
A521199,2024-01-14 22:07:53,4521.59
A596309,2024-03-25 09:30:36,1776.94
A929042,2024-03-05 23:31:26,1186.69
A335914,2024-03-07 01:39:00,895.52
A564071,2024-03-30 14:45:23,3524.92
A774991,2024-01-29 00:20:12,2943.19
A359064,2024-01-02 11:02:09,4543.97
A538960,2024-03-12 13:29:36,4289.5
A810532,2024-02-07 09:48:41,641.55
A143197,2024-03-10 12:09:52,1481.67
A916325,2024-01-23 14:54:50,838.16
A952660,2024-01-13 19:55:51,4967.28
A419920,2024-02-21 10:47:41,4710.06
A587406,2024-02-02 21:41:24,4499.52
A666021,2024-01-15 07:53:29,1472.54
A191593,2024-03-12 00:21:46,1438.12
A458212,2024-02-11 06:50:14,3626.03
A833289,2024-02-05 08:30:29,949.13
A773966,2024-03-01 11:22:17,4490.91
A868760,2024-01-08 23:38:30,448.68
A316234,2024-01-27 06:23:49,2631.01
A155059,2024-03-11 21:45:09,69603.89
A159107,2024-03-21 03:48:45,4675.59
A760508,2024-01-11 15:23:36,3373.2
A793263,2024-01-08 06:17:56,2608.91
A558445,2024-03-23 09:25:18,4142.11
A505826,2024-02-04 14:49:09,4794.75
A654910,2024-01-12 11:27:28,2248.76
A553547,2024-03-30 09:03:16,327.33
A918938,2024-03-28 08:04:57,82184.46
A491000,2024-03-06 03:06:40,65501.22
A146425,2024-01-07 03:21:15,4393.94
A555238,2024-01-02 12:53:39,997.79
A428581,2024-01-02 00:38:36,2242.48
A735754,2024-03-17 14:10:48,3974.81
A980032,2024-02-14 09:52:55,3413.3
A318657,2024-03-02 20:53:34,2956.92
A355458,2024-03-28 17:49:13,440.19
A975689,2024-01-01 19:24:00,3351.89
A309400,2024-02-25 02:32:02,2334.44
A844503,2024-01-18 08:22:17,2922.95
A325558,2024-03-15 00:08:16,907.29
A856186,2024-01-07 14:02:01,3962.13
A839704,2024-02-04 02:15:40,106.72
A562394,2024-02-09 16:11:14,3559.42
A508209,2024-02-28 00:26:53,2868.09
A134825,2024-03-25 06:48:20,917.89
A151519,2024-02-08 15:07:17,2640.4
A744317,2024-01-06 13:52:09,3654.45
A556223,2024-02-29 01:02:04,3539.25
A226966,2024-02-29 00:29:35,4162.79
A594837,2024-02-27 12:57:46,607.76
A865866,2024-03-01 23:49:47,4462.41
A931960,2024-03-02 15:18:01,3651.83
A241134,2024-02-08 22:28:15,2921.31
A657384,2024-01-23 17:43:41,4391.45
A440056,2024-01-02 05:37:45,4942.88
A335662,2024-03-03 05:14:00,4071.42
A594176,2024-03-21 14:40:02,1636.24
A836906,2024-02-10 16:29:00,4564.55
A748572,2024-03-04 20:25:17,1778.4
A786293,2024-01-09 11:51:11,2436.23
A532204,2024-01-20 02:56:31,1728.27
A134792,2024-02-20 11:42:28,534.89
A502541,2024-03-10 05:24:41,1851.7
A747021,2024-02-25 07:46:56,3951.85
A506305,2024-02-10 09:15:19,1497.79
A497895,2024-02-03 00:04:16,2469.78
A686201,2024-03-07 13:06:11,4205.47
A972502,2024-02-27 12:18:11,4033.4
A976821,2024-01-26 21:09:09,2756.22
A323242,2024-03-19 22:04:09,2758.66
A366261,2024-03-12 16:31:15,2338.27
A572258,2024-01-14 21:03:41,269.63
A126606,2024-01-03 01:46:54,2205.14
A243804,2024-02-27 00:06:54,3326.79
A170518,2024-01-26 12:59:51,2107.58
A530011,2024-02-11 09:09:19,1822.65
A967046,2024-01-13 16:05:43,3931.08
A518283,2024-03-05 10:05:09,623.02
A843715,2024-03-01 01:37:45,2626.09
A538059,2024-02-20 14:50:43,3975.73
A882866,2024-01-19 19:27:17,3296.16
A623156,2024-01-27 19:27:02,1529.01
A502607,2024-03-25 09:37:50,3541.66
A105173,2024-03-29 07:40:29,652.94
A905407,2024-01-21 04:05:58,612.33
